Company,Year,Market Cap,Revenue,Total Assets
SAUDI ARAMCO,2023,$2.248 T,$535.54 B,$663.34 B
SAUDI ARAMCO,2022,$1.881 T,$604.17 B,$576.72 B
SAUDI ARAMCO,2021,$1.908 T,$400.74 B,$510.78 B
SAUDI ARAMCO,2020,$2.053 T,$229.97 B,$398.60 B
SAUDI ARAMCO,2019,$1.880 T,$331.19 B,$358.83 B
SAUDI ARAMCO,TotalEnergiesTTE,$152.22 B,$110.59 B,$294.01 B
SAUDI ARAMCO,2023,$2.248 T,$535.54 B,$663.34 B
SAUDI ARAMCO,2022,$1.881 T,$604.17 B,$576.72 B
SAUDI ARAMCO,2021,$1.908 T,$400.74 B,$510.78 B
SAUDI ARAMCO,2020,$2.053 T,$229.97 B,$398.60 B
SAUDI ARAMCO,2019,$1.880 T,$331.19 B,$358.83 B
SAUDI ARAMCO,TotalEnergiesTTE,$152.22 B,$110.59 B,$294.01 B
SAUDI ARAMCO,2023,$2.248 T,$535.54 B,$663.34 B
SAUDI ARAMCO,2022,$1.881 T,$604.17 B,$576.72 B
SAUDI ARAMCO,2021,$1.908 T,$400.74 B,$510.78 B
SAUDI ARAMCO,2020,$2.053 T,$229.97 B,$398.60 B
SAUDI ARAMCO,2019,$1.880 T,$331.19 B,$358.83 B
SAUDI ARAMCO,TotalEnergiesTTE,$152.22 B,$110.59 B,$294.01 B
SAUDI ARAMCO,2023,$2.248 T,$535.54 B,$663.34 B
SAUDI ARAMCO,2022,$1.881 T,$604.17 B,$576.72 B
SAUDI ARAMCO,2021,$1.908 T,$400.74 B,$510.78 B
SAUDI ARAMCO,2020,$2.053 T,$229.97 B,$398.60 B
SAUDI ARAMCO,2019,$1.880 T,$331.19 B,$358.83 B
SAUDI ARAMCO,TotalEnergiesTTE,$152.22 B,$110.59 B,$294.01 B
SAUDI ARAMCO,2023,$2.248 T,$535.54 B,$663.34 B
SAUDI ARAMCO,2022,$1.881 T,$604.17 B,$576.72 B
SAUDI ARAMCO,2021,$1.908 T,$400.74 B,$510.78 B
SAUDI ARAMCO,2020,$2.053 T,$229.97 B,$398.60 B
SAUDI ARAMCO,2019,$1.880 T,$331.19 B,$358.83 B
SAUDI ARAMCO,TotalEnergiesTTE,$152.22 B,$110.59 B,$294.01 B
TENCENT,2023,$404.24 B,$82.51 B,$228.81 B
TENCENT,2022,$405.09 B,$82.03 B,$253.03 B
TENCENT,2021,$562.84 B,$86.61 B,$204.44 B
TENCENT,2020,$699.78 B,$70.35 B,$136.56 B
TENCENT,2019,$460.66 B,$54.46 B,$105.20 B
TENCENT,2018,$381.65 B,$46.90 B,$85.25 B
TENCENT,2017,$493.31 B,$35.53 B,$57.01 B
TENCENT,2016,$230.00 B,$22.71 B,$47.33 B
TENCENT,2015,$184.98 B,$16.27 B,$27.64 B
TENCENT,2014,$135.89 B,$12.76 B,$17.71 B
TENCENT,2013,$118.75 B,$9.87 B,$12.07 B
TENCENT,2012,$59.53 B,$6.97 B,$9.03 B
TENCENT,2011,$7.21 B,$4.44 B,$5.41 B
TENCENT,2010,$7.79 B,$152.32 B,$2.56 B
TENCENT,2023,$404.24 B,$82.51 B,$228.81 B
TENCENT,2022,$405.09 B,$82.03 B,$253.03 B
TENCENT,2021,$562.84 B,$86.61 B,$204.44 B
TENCENT,2020,$699.78 B,$70.35 B,$136.56 B
TENCENT,2019,$460.66 B,$54.46 B,$105.20 B
TENCENT,2018,$381.65 B,$46.90 B,$85.25 B
TENCENT,2017,$493.31 B,$35.53 B,$57.01 B
TENCENT,2016,$230.00 B,$22.71 B,$47.33 B
TENCENT,2015,$184.98 B,$16.27 B,$27.64 B
TENCENT,2014,$135.89 B,$12.76 B,$17.71 B
TENCENT,2013,$118.75 B,$9.87 B,$12.07 B
TENCENT,2012,$59.53 B,$6.97 B,$9.03 B
TENCENT,2011,$7.21 B,$4.44 B,$5.41 B
TENCENT,2010,$7.79 B,$152.32 B,$2.56 B
TENCENT,2023,$404.24 B,$82.51 B,$228.81 B
TENCENT,2022,$405.09 B,$82.03 B,$253.03 B
TENCENT,2021,$562.84 B,$86.61 B,$204.44 B
TENCENT,2020,$699.78 B,$70.35 B,$136.56 B
TENCENT,2019,$460.66 B,$54.46 B,$105.20 B
TENCENT,2018,$381.65 B,$46.90 B,$85.25 B
TENCENT,2017,$493.31 B,$35.53 B,$57.01 B
TENCENT,2016,$230.00 B,$22.71 B,$47.33 B
TENCENT,2015,$184.98 B,$16.27 B,$27.64 B
TENCENT,2014,$135.89 B,$12.76 B,$17.71 B
TENCENT,2013,$118.75 B,$9.87 B,$12.07 B
TENCENT,2012,$59.53 B,$6.97 B,$9.03 B
TENCENT,2011,$7.21 B,$4.44 B,$5.41 B
TENCENT,2010,$7.79 B,$152.32 B,$2.56 B
TENCENT,2023,$404.24 B,$82.51 B,$228.81 B
TENCENT,2022,$405.09 B,$82.03 B,$253.03 B
TENCENT,2021,$562.84 B,$86.61 B,$204.44 B
TENCENT,2020,$699.78 B,$70.35 B,$136.56 B
TENCENT,2019,$460.66 B,$54.46 B,$105.20 B
TENCENT,2018,$381.65 B,$46.90 B,$85.25 B
TENCENT,2017,$493.31 B,$35.53 B,$57.01 B
TENCENT,2016,$230.00 B,$22.71 B,$47.33 B
TENCENT,2015,$184.98 B,$16.27 B,$27.64 B
TENCENT,2014,$135.89 B,$12.76 B,$17.71 B
TENCENT,2013,$118.75 B,$9.87 B,$12.07 B
TENCENT,2012,$59.53 B,$6.97 B,$9.03 B
TENCENT,2011,$7.21 B,$4.44 B,$5.41 B
TENCENT,2010,$7.79 B,$152.32 B,$2.56 B
TENCENT,2023,$404.24 B,$82.51 B,$228.81 B
TENCENT,2022,$405.09 B,$82.03 B,$253.03 B
TENCENT,2021,$562.84 B,$86.61 B,$204.44 B
TENCENT,2020,$699.78 B,$70.35 B,$136.56 B
TENCENT,2019,$460.66 B,$54.46 B,$105.20 B
TENCENT,2018,$381.65 B,$46.90 B,$85.25 B
TENCENT,2017,$493.31 B,$35.53 B,$57.01 B
TENCENT,2016,$230.00 B,$22.71 B,$47.33 B
TENCENT,2015,$184.98 B,$16.27 B,$27.64 B
TENCENT,2014,$135.89 B,$12.76 B,$17.71 B
TENCENT,2013,$118.75 B,$9.87 B,$12.07 B
TENCENT,2012,$59.53 B,$6.97 B,$9.03 B
TENCENT,2011,$7.21 B,$4.44 B,$5.41 B
TENCENT,2010,$7.79 B,$152.32 B,$2.56 B
TENCENT,2023,$404.24 B,$82.51 B,$228.81 B
TENCENT,2022,$405.09 B,$82.03 B,$253.03 B
TENCENT,2021,$562.84 B,$86.61 B,$204.44 B
TENCENT,2020,$699.78 B,$70.35 B,$136.56 B
TENCENT,2019,$460.66 B,$54.46 B,$105.20 B
TENCENT,2018,$381.65 B,$46.90 B,$85.25 B
TENCENT,2017,$493.31 B,$35.53 B,$57.01 B
TENCENT,2016,$230.00 B,$22.71 B,$47.33 B
TENCENT,2015,$184.98 B,$16.27 B,$27.64 B
TENCENT,2014,$135.89 B,$12.76 B,$17.71 B
TENCENT,2013,$118.75 B,$9.87 B,$12.07 B
TENCENT,2012,$59.53 B,$6.97 B,$9.03 B
TENCENT,2011,$7.21 B,$4.44 B,$5.41 B
TENCENT,2010,$7.79 B,$152.32 B,$2.56 B
China Construction Bank,2023,$131.64 B,$115.43 B,$5.017 T
China Construction Bank,2022,$157.96 B,$121.97 B,$4.747 T
China Construction Bank,2021,$175.35 B,$127.14 B,$4.313 T
China Construction Bank,2020,$192.21 B,$109.77 B,$3.641 T
China Construction Bank,2019,$217.99 B,$102.01 B,$3.376 T
China Construction Bank,2018,$207.22 B,$99.21 B,$3.400 T
China Construction Bank,2017,$232.75 B,$92.59 B,$3.019 T
China Construction Bank,2016,$192.56 B,$91.00 B,$2.831 T
China Construction Bank,2015,$173.49 B,$95.98 B,$2.704 T
China Construction Bank,2014,$208.20 B,$92.18 B,$2.538 T
China Construction Bank,2013,$188.16 B,$83.02 B,$2.241 T
China Construction Bank,2012,$200.20 B,$73.22 B,$1.954 T
China Construction Bank,2011,$175.07 B,$61.86 B,$1.634 T
China Construction Bank,2010,$222.62 B,$48.17 B,$1.408 T
China Construction Bank,2009,$201.33 B,$39.15 B,$1.108 T
China Construction Bank,2008,$128.46 B,$38.92 B,$904.59 B
China Construction Bank,2023,$131.64 B,$115.43 B,$5.017 T
China Construction Bank,2022,$157.96 B,$121.97 B,$4.747 T
China Construction Bank,2021,$175.35 B,$127.14 B,$4.313 T
China Construction Bank,2020,$192.21 B,$109.77 B,$3.641 T
China Construction Bank,2019,$217.99 B,$102.01 B,$3.376 T
China Construction Bank,2018,$207.22 B,$99.21 B,$3.400 T
China Construction Bank,2017,$232.75 B,$92.59 B,$3.019 T
China Construction Bank,2016,$192.56 B,$91.00 B,$2.831 T
China Construction Bank,2015,$173.49 B,$95.98 B,$2.704 T
China Construction Bank,2014,$208.20 B,$92.18 B,$2.538 T
China Construction Bank,2013,$188.16 B,$83.02 B,$2.241 T
China Construction Bank,2012,$200.20 B,$73.22 B,$1.954 T
China Construction Bank,2011,$175.07 B,$61.86 B,$1.634 T
China Construction Bank,2010,$222.62 B,$48.17 B,$1.408 T
China Construction Bank,2009,$201.33 B,$39.15 B,$1.108 T
China Construction Bank,2008,$128.46 B,$38.92 B,$904.59 B
China Construction Bank,2023,$131.64 B,$115.43 B,$5.017 T
China Construction Bank,2022,$157.96 B,$121.97 B,$4.747 T
China Construction Bank,2021,$175.35 B,$127.14 B,$4.313 T
China Construction Bank,2020,$192.21 B,$109.77 B,$3.641 T
China Construction Bank,2019,$217.99 B,$102.01 B,$3.376 T
China Construction Bank,2018,$207.22 B,$99.21 B,$3.400 T
China Construction Bank,2017,$232.75 B,$92.59 B,$3.019 T
China Construction Bank,2016,$192.56 B,$91.00 B,$2.831 T
China Construction Bank,2015,$173.49 B,$95.98 B,$2.704 T
China Construction Bank,2014,$208.20 B,$92.18 B,$2.538 T
China Construction Bank,2013,$188.16 B,$83.02 B,$2.241 T
China Construction Bank,2012,$200.20 B,$73.22 B,$1.954 T
China Construction Bank,2011,$175.07 B,$61.86 B,$1.634 T
China Construction Bank,2010,$222.62 B,$48.17 B,$1.408 T
China Construction Bank,2009,$201.33 B,$39.15 B,$1.108 T
China Construction Bank,2008,$128.46 B,$38.92 B,$904.59 B
China Construction Bank,2023,$131.64 B,$115.43 B,$5.017 T
China Construction Bank,2022,$157.96 B,$121.97 B,$4.747 T
China Construction Bank,2021,$175.35 B,$127.14 B,$4.313 T
China Construction Bank,2020,$192.21 B,$109.77 B,$3.641 T
China Construction Bank,2019,$217.99 B,$102.01 B,$3.376 T
China Construction Bank,2018,$207.22 B,$99.21 B,$3.400 T
China Construction Bank,2017,$232.75 B,$92.59 B,$3.019 T
China Construction Bank,2016,$192.56 B,$91.00 B,$2.831 T
China Construction Bank,2015,$173.49 B,$95.98 B,$2.704 T
China Construction Bank,2014,$208.20 B,$92.18 B,$2.538 T
China Construction Bank,2013,$188.16 B,$83.02 B,$2.241 T
China Construction Bank,2012,$200.20 B,$73.22 B,$1.954 T
China Construction Bank,2011,$175.07 B,$61.86 B,$1.634 T
China Construction Bank,2010,$222.62 B,$48.17 B,$1.408 T
China Construction Bank,2009,$201.33 B,$39.15 B,$1.108 T
China Construction Bank,2008,$128.46 B,$38.92 B,$904.59 B
China Construction Bank,2023,$131.64 B,$115.43 B,$5.017 T
China Construction Bank,2022,$157.96 B,$121.97 B,$4.747 T
China Construction Bank,2021,$175.35 B,$127.14 B,$4.313 T
China Construction Bank,2020,$192.21 B,$109.77 B,$3.641 T
China Construction Bank,2019,$217.99 B,$102.01 B,$3.376 T
China Construction Bank,2018,$207.22 B,$99.21 B,$3.400 T
China Construction Bank,2017,$232.75 B,$92.59 B,$3.019 T
China Construction Bank,2016,$192.56 B,$91.00 B,$2.831 T
China Construction Bank,2015,$173.49 B,$95.98 B,$2.704 T
China Construction Bank,2014,$208.20 B,$92.18 B,$2.538 T
China Construction Bank,2013,$188.16 B,$83.02 B,$2.241 T
China Construction Bank,2012,$200.20 B,$73.22 B,$1.954 T
China Construction Bank,2011,$175.07 B,$61.86 B,$1.634 T
China Construction Bank,2010,$222.62 B,$48.17 B,$1.408 T
China Construction Bank,2009,$201.33 B,$39.15 B,$1.108 T
China Construction Bank,2008,$128.46 B,$38.92 B,$904.59 B
China Construction Bank,2023,$131.64 B,$115.43 B,$5.017 T
China Construction Bank,2022,$157.96 B,$121.97 B,$4.747 T
China Construction Bank,2021,$175.35 B,$127.14 B,$4.313 T
China Construction Bank,2020,$192.21 B,$109.77 B,$3.641 T
China Construction Bank,2019,$217.99 B,$102.01 B,$3.376 T
China Construction Bank,2018,$207.22 B,$99.21 B,$3.400 T
China Construction Bank,2017,$232.75 B,$92.59 B,$3.019 T
China Construction Bank,2016,$192.56 B,$91.00 B,$2.831 T
China Construction Bank,2015,$173.49 B,$95.98 B,$2.704 T
China Construction Bank,2014,$208.20 B,$92.18 B,$2.538 T
China Construction Bank,2013,$188.16 B,$83.02 B,$2.241 T
China Construction Bank,2012,$200.20 B,$73.22 B,$1.954 T
China Construction Bank,2011,$175.07 B,$61.86 B,$1.634 T
China Construction Bank,2010,$222.62 B,$48.17 B,$1.408 T
China Construction Bank,2009,$201.33 B,$39.15 B,$1.108 T
China Construction Bank,2008,$128.46 B,$38.92 B,$904.59 B
CHINA MOBILE,2023,$184.82 B,$137.90 B,$275.52 B
CHINA MOBILE,2022,$145.01 B,$138.85 B,$288.96 B
CHINA MOBILE,2021,$122.89 B,$131.15 B,$264.92 B
CHINA MOBILE,2020,$117.13 B,$47.47 B,$233.22 B
CHINA MOBILE,2019,$172.20 B,$37.52 B,$223.33 B
CHINA MOBILE,2018,$197.01 B,$29.62 B,$233.96 B
CHINA MOBILE,2017,$207.58 B,$23.27 B,$219.04 B
CHINA MOBILE,2016,$217.03 B,$18.61 B,$220.31 B
CHINA MOBILE,2015,$231.15 B,$15.54 B,$209.37 B
CHINA MOBILE,2014,$238.46 B,$12.12 B,$192.89 B
CHINA MOBILE,2023,$184.82 B,$137.90 B,$275.52 B
CHINA MOBILE,2022,$145.01 B,$138.85 B,$288.96 B
CHINA MOBILE,2021,$122.89 B,$131.15 B,$264.92 B
CHINA MOBILE,2020,$117.13 B,$47.47 B,$233.22 B
CHINA MOBILE,2019,$172.20 B,$37.52 B,$223.33 B
CHINA MOBILE,2018,$197.01 B,$29.62 B,$233.96 B
CHINA MOBILE,2017,$207.58 B,$23.27 B,$219.04 B
CHINA MOBILE,2016,$217.03 B,$18.61 B,$220.31 B
CHINA MOBILE,2015,$231.15 B,$15.54 B,$209.37 B
CHINA MOBILE,2014,$238.46 B,$12.12 B,$192.89 B
CHINA MOBILE,2023,$184.82 B,$137.90 B,$275.52 B
CHINA MOBILE,2022,$145.01 B,$138.85 B,$288.96 B
CHINA MOBILE,2021,$122.89 B,$131.15 B,$264.92 B
CHINA MOBILE,2020,$117.13 B,$47.47 B,$233.22 B
CHINA MOBILE,2019,$172.20 B,$37.52 B,$223.33 B
CHINA MOBILE,2018,$197.01 B,$29.62 B,$233.96 B
CHINA MOBILE,2017,$207.58 B,$23.27 B,$219.04 B
CHINA MOBILE,2016,$217.03 B,$18.61 B,$220.31 B
CHINA MOBILE,2015,$231.15 B,$15.54 B,$209.37 B
CHINA MOBILE,2014,$238.46 B,$12.12 B,$192.89 B
CHINA MOBILE,2023,$184.82 B,$137.90 B,$275.52 B
CHINA MOBILE,2022,$145.01 B,$138.85 B,$288.96 B
CHINA MOBILE,2021,$122.89 B,$131.15 B,$264.92 B
CHINA MOBILE,2020,$117.13 B,$47.47 B,$233.22 B
CHINA MOBILE,2019,$172.20 B,$37.52 B,$223.33 B
CHINA MOBILE,2018,$197.01 B,$29.62 B,$233.96 B
CHINA MOBILE,2017,$207.58 B,$23.27 B,$219.04 B
CHINA MOBILE,2016,$217.03 B,$18.61 B,$220.31 B
CHINA MOBILE,2015,$231.15 B,$15.54 B,$209.37 B
CHINA MOBILE,2014,$238.46 B,$12.12 B,$192.89 B
CHINA MOBILE,2023,$184.82 B,$137.90 B,$275.52 B
CHINA MOBILE,2022,$145.01 B,$138.85 B,$288.96 B
CHINA MOBILE,2021,$122.89 B,$131.15 B,$264.92 B
CHINA MOBILE,2020,$117.13 B,$47.47 B,$233.22 B
CHINA MOBILE,2019,$172.20 B,$37.52 B,$223.33 B
CHINA MOBILE,2018,$197.01 B,$29.62 B,$233.96 B
CHINA MOBILE,2017,$207.58 B,$23.27 B,$219.04 B
CHINA MOBILE,2016,$217.03 B,$18.61 B,$220.31 B
CHINA MOBILE,2015,$231.15 B,$15.54 B,$209.37 B
CHINA MOBILE,2014,$238.46 B,$12.12 B,$192.89 B
CHINA MOBILE,2023,$184.82 B,$137.90 B,$275.52 B
CHINA MOBILE,2022,$145.01 B,$138.85 B,$288.96 B
CHINA MOBILE,2021,$122.89 B,$131.15 B,$264.92 B
CHINA MOBILE,2020,$117.13 B,$47.47 B,$233.22 B
CHINA MOBILE,2019,$172.20 B,$37.52 B,$223.33 B
CHINA MOBILE,2018,$197.01 B,$29.62 B,$233.96 B
CHINA MOBILE,2017,$207.58 B,$23.27 B,$219.04 B
CHINA MOBILE,2016,$217.03 B,$18.61 B,$220.31 B
CHINA MOBILE,2015,$231.15 B,$15.54 B,$209.37 B
CHINA MOBILE,2014,$238.46 B,$12.12 B,$192.89 B
CVS HEALTH,2023,$86.22 B,$339.20 B,$228.27 B
CVS HEALTH,2022,$122.44 B,$322.46 B,$232.99 B
CVS HEALTH,2021,$136.17 B,$292.11 B,$230.71 B
CVS HEALTH,2020,$89.39 B,$268.70 B,$222.44 B
CVS HEALTH,2019,$96.72 B,$256.77 B,$196.45 B
CVS HEALTH,2018,$84.84 B,$194.09 B,$95.13 B
CVS HEALTH,2017,$73.44 B,$184.76 B,$94.46 B
CVS HEALTH,2016,$84.15 B,$177.52 B,$93.65 B
CVS HEALTH,2015,$107.64 B,$153.29 B,$74.25 B
CVS HEALTH,2014,$109.79 B,$139.36 B,$71.52 B
CVS HEALTH,2013,$84.45 B,$126.80 B,$65.91 B
CVS HEALTH,2012,$59.51 B,$123.13 B,$64.54 B
CVS HEALTH,2011,$53.08 B,$107.50 B,$62.16 B
CVS HEALTH,2010,$47.39 B,$96.41 B,$61.64 B
CVS HEALTH,2009,$44.80 B,$98.72 B,$60.95 B
CVS HEALTH,2008,$41.27 B,$87.47 B,$54.72 B
CVS HEALTH,2007,$57.09 B,$76.32 B,$20.56 B
CVS HEALTH,2006,$25.52 B,$43.81 B,$15.28 B
CVS HEALTH,2005,$21.51 B,$37.00 B,$14.54 B
CVS HEALTH,2004,$18.07 B,$30.59 B,$10.54 B
CVS HEALTH,2003,$14.28 B,$26.58 B,$9.64 B
CVS HEALTH,2002,$9.81 B,$24.18 B,$8.62 B
CVS HEALTH,2023,$86.22 B,$339.20 B,$228.27 B
CVS HEALTH,2022,$122.44 B,$322.46 B,$232.99 B
CVS HEALTH,2021,$136.17 B,$292.11 B,$230.71 B
CVS HEALTH,2020,$89.39 B,$268.70 B,$222.44 B
CVS HEALTH,2019,$96.72 B,$256.77 B,$196.45 B
CVS HEALTH,2018,$84.84 B,$194.09 B,$95.13 B
CVS HEALTH,2017,$73.44 B,$184.76 B,$94.46 B
CVS HEALTH,2016,$84.15 B,$177.52 B,$93.65 B
CVS HEALTH,2015,$107.64 B,$153.29 B,$74.25 B
CVS HEALTH,2014,$109.79 B,$139.36 B,$71.52 B
CVS HEALTH,2013,$84.45 B,$126.80 B,$65.91 B
CVS HEALTH,2012,$59.51 B,$123.13 B,$64.54 B
CVS HEALTH,2011,$53.08 B,$107.50 B,$62.16 B
CVS HEALTH,2010,$47.39 B,$96.41 B,$61.64 B
CVS HEALTH,2009,$44.80 B,$98.72 B,$60.95 B
CVS HEALTH,2008,$41.27 B,$87.47 B,$54.72 B
CVS HEALTH,2007,$57.09 B,$76.32 B,$20.56 B
CVS HEALTH,2006,$25.52 B,$43.81 B,$15.28 B
CVS HEALTH,2005,$21.51 B,$37.00 B,$14.54 B
CVS HEALTH,2004,$18.07 B,$30.59 B,$10.54 B
CVS HEALTH,2003,$14.28 B,$26.58 B,$9.64 B
CVS HEALTH,2002,$9.81 B,$24.18 B,$8.62 B
CVS HEALTH,2023,$86.22 B,$339.20 B,$228.27 B
CVS HEALTH,2022,$122.44 B,$322.46 B,$232.99 B
CVS HEALTH,2021,$136.17 B,$292.11 B,$230.71 B
CVS HEALTH,2020,$89.39 B,$268.70 B,$222.44 B
CVS HEALTH,2019,$96.72 B,$256.77 B,$196.45 B
CVS HEALTH,2018,$84.84 B,$194.09 B,$95.13 B
CVS HEALTH,2017,$73.44 B,$184.76 B,$94.46 B
CVS HEALTH,2016,$84.15 B,$177.52 B,$93.65 B
CVS HEALTH,2015,$107.64 B,$153.29 B,$74.25 B
CVS HEALTH,2014,$109.79 B,$139.36 B,$71.52 B
CVS HEALTH,2013,$84.45 B,$126.80 B,$65.91 B
CVS HEALTH,2012,$59.51 B,$123.13 B,$64.54 B
CVS HEALTH,2011,$53.08 B,$107.50 B,$62.16 B
CVS HEALTH,2010,$47.39 B,$96.41 B,$61.64 B
CVS HEALTH,2009,$44.80 B,$98.72 B,$60.95 B
CVS HEALTH,2008,$41.27 B,$87.47 B,$54.72 B
CVS HEALTH,2007,$57.09 B,$76.32 B,$20.56 B
CVS HEALTH,2006,$25.52 B,$43.81 B,$15.28 B
CVS HEALTH,2005,$21.51 B,$37.00 B,$14.54 B
CVS HEALTH,2004,$18.07 B,$30.59 B,$10.54 B
CVS HEALTH,2003,$14.28 B,$26.58 B,$9.64 B
CVS HEALTH,2002,$9.81 B,$24.18 B,$8.62 B
CVS HEALTH,2023,$86.22 B,$339.20 B,$228.27 B
CVS HEALTH,2022,$122.44 B,$322.46 B,$232.99 B
CVS HEALTH,2021,$136.17 B,$292.11 B,$230.71 B
CVS HEALTH,2020,$89.39 B,$268.70 B,$222.44 B
CVS HEALTH,2019,$96.72 B,$256.77 B,$196.45 B
CVS HEALTH,2018,$84.84 B,$194.09 B,$95.13 B
CVS HEALTH,2017,$73.44 B,$184.76 B,$94.46 B
CVS HEALTH,2016,$84.15 B,$177.52 B,$93.65 B
CVS HEALTH,2015,$107.64 B,$153.29 B,$74.25 B
CVS HEALTH,2014,$109.79 B,$139.36 B,$71.52 B
CVS HEALTH,2013,$84.45 B,$126.80 B,$65.91 B
CVS HEALTH,2012,$59.51 B,$123.13 B,$64.54 B
CVS HEALTH,2011,$53.08 B,$107.50 B,$62.16 B
CVS HEALTH,2010,$47.39 B,$96.41 B,$61.64 B
CVS HEALTH,2009,$44.80 B,$98.72 B,$60.95 B
CVS HEALTH,2008,$41.27 B,$87.47 B,$54.72 B
CVS HEALTH,2007,$57.09 B,$76.32 B,$20.56 B
CVS HEALTH,2006,$25.52 B,$43.81 B,$15.28 B
CVS HEALTH,2005,$21.51 B,$37.00 B,$14.54 B
CVS HEALTH,2004,$18.07 B,$30.59 B,$10.54 B
CVS HEALTH,2003,$14.28 B,$26.58 B,$9.64 B
CVS HEALTH,2002,$9.81 B,$24.18 B,$8.62 B
CVS HEALTH,2023,$86.22 B,$339.20 B,$228.27 B
CVS HEALTH,2022,$122.44 B,$322.46 B,$232.99 B
CVS HEALTH,2021,$136.17 B,$292.11 B,$230.71 B
