Year,COMPANY_NAME,Country,NUMBER_OF_EMPLOYEES,SCOPE_1,SCOPE_2,SCOPE 1+2,SCOPE 3,ENERGY_CONSUMPTION_TOTAL,TOTAL_WASTE_GENERATED,ISIC Division
2016,ABBVIE INC,United States,28939,305000.0,305000.0,610000.0,Not reported,2085000.0,35700.0,Human health and social work activities
2017,ABBVIE INC,United States,29777,299000.0,284000.0,584000.0,Not reported,2051000.0,32800.0,Human health and social work activities
2018,ABBVIE INC,United States,30612,315000.0,271000.0,585000.0,Not reported,2146000.0,32000.0,Human health and social work activities
2019,ABBVIE INC,United States,30776,315000.0,250000.0,564000.0,Not reported,2112000.0,33400.0,Human health and social work activities
2020,ABBVIE INC,United States,47000,265000.0,243000.0,508000.0,Not reported,1978000.0,30600.0,Human health and social work activities
2021,ABBVIE INC,United States,50000,367954.0,256708.0,624662.0,Not reported,2654868.0,36900.0,Human health and social work activities
2016,ALLIANZ,Germany,42167,56856.0,417373.0,474000.0,Reported,2696330.0,21438.0,Financial and insurance activities
2017,ALLIANZ,Germany,140553,51838.0,425376.0,477214.0,Reported,2783178.0,21474.0,Financial and insurance activities
2018,ALLIANZ,Germany,142460,46734.0,398313.0,445047.0,Reported,2636398.0,19575.0,Financial and insurance activities
2019,ALLIANZ,Germany,147268,42011.0,281548.0,323559.0,Reported,2536314.0,19396.0,Financial and insurance activities
2020,ALLIANZ,Germany,150269,28714.0,366878.0,395592.0,Reported,2120288.0,14395.0,Financial and insurance activities
2021,ALLIANZ,Germany,155411,28699.0,138746.0,167445.0,Reported,1943248.0,12064.0,Financial and insurance activities
2021,ALPHABET INC-A,United States,156500,45073.0,1823132.0,1868205.0,Reported,18571659.0,28153.0,Information and communication
2016,ALPHABET INC-A,United States,72053,66218.0,4421197.0,4487415.0,Reported,6513720.0,43058.0,Information and communication
2017,ALPHABET INC-A,United States,80110,66549.0,3810726.0,3877275.0,Reported,8029410.0,53363.0,Information and communication
2018,ALPHABET INC-A,United States,98771,63521.0,5028922.0,5092443.0,Reported,10572500.0,57113.0,Information and communication
2019,ALPHABET INC-A,United States,118899,66686.0,5911216.0,5977902.0,Reported,12749500.0,51617.0,Information and communication
2020,ALPHABET INC-A,United States,135301,38694.0,6776510.0,6815204.0,Reported,15439538.0,28864.0,Information and communication
2016,AMAZON.COM INC,United States,341400,2272176.0,1818190.0,4090366.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2017,AMAZON.COM INC,United States,566000,2971922.0,2378126.0,5350048.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2018,AMAZON.COM INC,United States,647500,4980000.0,4710000.0,9690000.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2019,AMAZON.COM INC,United States,798000,5760000.0,5500000.0,11260000.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2020,AMAZON.COM INC,United States,1298000,9620000.0,5270000.0,14890000.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2021,AMAZON.COM INC,United States,1608000,12110000.0,4070000.0,16180000.0,Not reported,,30880000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2016,APPLE,United States,116000,34370.0,41000.0,75370.0,Reported,1420000.0,2939380054.0,Manufacturing
2017,APPLE,United States,123000,45400.0,36250.0,81650.0,Reported,1832000.0,5297313121.0,Manufacturing
2018,APPLE,United States,132000,54590.0,8730.0,63320.0,Reported,2181000.0,5202410798.0,Manufacturing
2019,APPLE,United States,137000,52730.0,0.0,52730.0,Reported,2427000.0,5748355965.0,Manufacturing
2020,APPLE,United States,147000,47430.0,0.0,47430.0,Reported,2580000.0,4499168605.0,Manufacturing
2021,APPLE,United States,154000,55202.0,1006029.0,1061231.0,Reported,28540000.0,5166081299.0,Manufacturing
2016,AT&T,United States,268540,1080000.0,6700000.0,7780000.0,Not reported,20000000.0,,Information and communication
2017,AT&T,United States,254000,1070000.0,6950000.0,8020235.98,Not reported,19500000.0,201395.0,Information and communication
2018,AT&T,United States,268220,1020000.0,6660000.0,7749419.54,Not reported,18700000.0,191865.0,Information and communication
2019,AT&T,United States,247800,990000.0,5530000.0,6525122.31,Not reported,17900000.0,245645.0,Information and communication
2020,AT&T,United States,230760,1040000.0,4700000.0,5740000.0,Reported,17500000.0,199749.0,Information and communication
2021,AT&T,United States,203000,997129.0,4600000.0,5597129.0,Reported,17000000.0,190223.0,Information and communication
2021,AXA,France,114749,23362.0,56767.0,80129.0,Not reported,233927.0,4289.0,Financial and insurance activities
2016,AXA,France,115819,34246.0,57289.0,91535.0,Not reported,404466.0,8960.0,Financial and insurance activities
2017,AXA,France,115328,32950.0,55120.0,88070.0,Not reported,363283.0,7889.0,Financial and insurance activities
2018,AXA,France,124355,38778.0,69160.0,107938.0,Not reported,344684.0,7735.0,Financial and insurance activities
2019,AXA,France,121337,37889.0,62765.0,100654.0,Not reported,305484.0,6935.0,Financial and insurance activities
2020,AXA,France,117623,26292.0,40894.0,67186.0,Not reported,260992.0,5430.0,Financial and insurance activities
2016,BANK OF AMERICA CORP,United States,210247,84825.0,967811.0,1052636.0,Reported,,113191.0,Financial and insurance activities
2017,BANK OF AMERICA CORP,United States,209376,59451.0,836052.0,895503.0,Reported,,100657.0,Financial and insurance activities
2018,BANK OF AMERICA CORP,United States,204489,62258.0,789565.0,851823.0,Reported,,95089.0,Financial and insurance activities
2019,BANK OF AMERICA CORP,United States,208131,62639.0,791409.0,854048.0,Reported,,103428.0,Financial and insurance activities
2020,BANK OF AMERICA CORP,United States,213000,53390.0,650553.0,703943.0,Reported,,76752.0,Financial and insurance activities
2021,BANK OF AMERICA CORP,United States,208000,57076.0,601906.0,658982.0,Reported,,67282.0,Financial and insurance activities
2021,BERKSHIRE HATHAWAY B,United States,371653,732137.0,542205.0,1274342.0,Not reported,,,"Electricity, gas, steam and air conditioning supply"
2016,BERKSHIRE HATHAWAY B,United States,367671,732137.0,542198.0,1274335.0,Not reported,,,"Electricity, gas, steam and air conditioning supply"
2017,BERKSHIRE HATHAWAY B,United States,377291,732137.0,542201.0,1274338.0,Not reported,,,"Electricity, gas, steam and air conditioning supply"
2018,BERKSHIRE HATHAWAY B,United States,389373,732137.0,542202.0,1274339.0,Not reported,,,"Electricity, gas, steam and air conditioning supply"
2019,BERKSHIRE HATHAWAY B,United States,391539,732137.0,542203.0,1274340.0,Not reported,,,"Electricity, gas, steam and air conditioning supply"
2020,BERKSHIRE HATHAWAY B,United States,360000,732137.0,542202.0,1274339.0,Not reported,,,"Electricity, gas, steam and air conditioning supply"
2021,BMW STAMM,Germany,118909,699713.0,134849.0,834562.0,Not reported,6476955.0,829498.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2016,BMW STAMM,Germany,124729,562146.0,868089.0,1430235.0,Not reported,5783841.0,762924.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2017,BMW STAMM,Germany,129932,625072.0,510911.0,1135983.0,Not reported,5852666.0,785209.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2018,BMW STAMM,Germany,134682,581703.0,538622.0,1120325.0,Not reported,5788965.0,789817.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2019,BMW STAMM,Germany,126016,642259.0,302574.0,944833.0,Not reported,5974625.0,780911.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2020,BMW STAMM,Germany,120726,678967.0,130090.0,809057.0,Not reported,6040824.0,775459.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2021,BP,United States,65900,33200000.0,2400000.0,35600000.0,Not reported,128805000.0,370100.0,Mining and quarrying
2016,BP,United States,74500,51400000.0,6200000.0,57600000.0,Not reported,,242400.0,Mining and quarrying
2017,BP,United States,74000,50500000.0,6100000.0,56600000.0,Not reported,,286500.0,Mining and quarrying
2018,BP,United States,73000,48800000.0,5400000.0,54200000.0,Not reported,209722239.0,241500.0,Mining and quarrying
2019,BP,United States,70100,49200000.0,5200000.0,54400000.0,Not reported,211111128.0,228300.0,Mining and quarrying
2020,BP,United States,63600,41700000.0,3800000.0,45500000.0,Not reported,180460000.0,406300.0,Mining and quarrying
2018,CHEVRON CORP,United States,48638,68000000.0,2000000.0,70000000.0,Not reported,1718000000000.0,,Mining and quarrying
2019,CHEVRON CORP,United States,48155,63000000.0,1000000.0,64000000.0,Not reported,1674000000000.0,,Mining and quarrying
2020,CHEVRON CORP,United States,47736,56000000.0,1000000.0,57000000.0,Not reported,1552000000000.0,,Mining and quarrying
2021,CHEVRON CORP,United States,42595,57000000.0,2000000.0,59000000.0,Not reported,1568000000000.0,,Mining and quarrying
2016,CHEVRON CORP,United States,51953,66000000.0,10000000.0,434000000.0,Reported,,,Mining and quarrying
2017,CHEVRON CORP,United States,51754,67000000.0,9000000.0,447000000.0,Reported,1490000000000.0,,Mining and quarrying
2016,China Construction Bank,China,362482,4100.19,105820.03,109920.22,Not reported,,,Financial and insurance activities
2017,China Construction Bank,China,352621,18576.91,258872.22,277449.13,Not reported,,,Financial and insurance activities
2018,China Construction Bank,China,345971,17518.07,244028.93,261547.0,Not reported,,,Financial and insurance activities
2019,China Construction Bank,China,347156,115242.34,1459672.38,1574914.66,Not reported,,,Financial and insurance activities
2020,China Construction Bank,China,349671,88906.1,1392317.22,1481223.32,Not reported,,,Financial and insurance activities
2021,China Construction Bank,China,351252,127378.31,1516076.17,1643454.48,Not reported,,,Financial and insurance activities
2016,CHINA MOBILE,China,460647,350000.0,14030000.0,14380000.0,Not reported,,,Information and communication
2017,CHINA MOBILE,China,464656,330000.0,15650000.0,15980000.0,Not reported,,,Information and communication
2018,CHINA MOBILE,China,459152,310000.0,15860000.0,16170000.0,Not reported,,29594.0,Information and communication
2019,CHINA MOBILE,China,456239,280000.0,17040000.0,17320000.0,Not reported,,71400.0,Information and communication
2020,CHINA MOBILE,China,454332,240000.0,33910000.0,34150000.0,Not reported,,63200.0,Information and communication
2021,CHINA MOBILE,China,449934,240000.0,33580000.0,33820000.0,Not reported,,76700.0,Information and communication
2016,COMCAST CORP A (NEW),United States,159000,427567.0,1266984.0,1694551.0,Not reported,,,Information and communication
2017,COMCAST CORP A (NEW),United States,164000,452167.0,1339880.0,1792047.0,Not reported,,,Information and communication
2018,COMCAST CORP A (NEW),United States,184000,502569.0,1489233.0,1991802.0,Not reported,,,Information and communication
2019,COMCAST CORP A (NEW),United States,190000,676422.0,1863480.0,2539902.0,Not reported,7129369.0,,Information and communication
2020,COMCAST CORP A (NEW),United States,168000,547084.0,1743564.0,2290648.0,Not reported,6504762.0,,Information and communication
2021,COMCAST CORP A (NEW),United States,189000,519288.0,1551747.0,2071035.0,Not reported,6098203.0,,Information and communication
2016,CVS HEALTH,United States,248224,198047.0,1285716.0,1483763.0,Not reported,2600000.0,,Human health and social work activities
2017,CVS HEALTH,United States,243544,206086.0,1131013.0,1337099.0,Not reported,2700000.0,,Human health and social work activities
2018,CVS HEALTH,United States,243000,177347.0,1096724.0,1274071.0,Not reported,2850000.0,,Human health and social work activities
2019,CVS HEALTH,United States,288154,157114.0,1024682.0,1181796.0,Not reported,2600000.0,,Human health and social work activities
2020,CVS HEALTH,United States,299980,165384.0,977380.0,1142764.0,Not reported,3041400.0,,Human health and social work activities
2021,CVS HEALTH,United States,321807,188257.0,881786.0,1070043.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2016,DAIMLER,Germany,282488,1056000.0,1882000.0,2938000.0,Not reported,10895000.0,1229000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2017,DAIMLER,Germany,289321,1192000.0,1763000.0,2955000.0,Not reported,11340000.0,1269000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2018,DAIMLER,Germany,298683,1247000.0,1687000.0,2934000.0,Not reported,11607000.0,1328000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2019,DAIMLER,Germany,298655,1239000.0,1276000.0,2515000.0,Not reported,11287000.0,1249000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2020,DAIMLER,Germany,288481,1027000.0,1035000.0,2062000.0,Not reported,9711000.0,1025000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2021,DAIMLER,Germany,172425,681000.0,466000.0,1147000.0,Not reported,6786000.0,651000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2016,DEUTSCHE TELEKOM,Germany,221000,290541.0,3878321.0,4168862.0,Not reported,8500000.0,66960.0,Information and communication
2017,DEUTSCHE TELEKOM,Germany,216000,284510.0,2611055.0,2895565.0,Not reported,8900000.0,58706.0,Information and communication
2018,DEUTSCHE TELEKOM,Germany,216000,276727.0,2077415.0,2354142.0,Not reported,9200000.0,60762.0,Information and communication
2019,DEUTSCHE TELEKOM,Germany,213000,256476.0,1545541.0,1802017.0,Reported,9300000.0,69203.0,Information and communication
2020,DEUTSCHE TELEKOM,Germany,226291,235261.0,15023000.0,15258261.0,Reported,12800000.0,70528.0,Information and communication
2021,DEUTSCHE TELEKOM,Germany,216528,218731.0,16393000.0,16611731.0,Reported,13300000.0,86636.0,Information and communication
2018,ENI,Italy,1345,2758000.0,31009.0,2789009.0,Not reported,,,Mining and quarrying
2019,ENI,Italy,1537,4514944.0,172399.0,4687343.0,Not reported,,,Mining and quarrying
2020,ENI,Italy,2092,37760000.0,730000.0,38490000.0,Reported,,,Mining and quarrying
2021,ENI,Italy,2464,40080000.0,810000.0,40890000.0,Reported,,,Mining and quarrying
2016,EXXON MOBIL CORP,United States,71000,105000000.0,8000000.0,113000000.0,Not reported,1500000000.0,,Mining and quarrying
2017,EXXON MOBIL CORP,United States,70000,100000000.0,9000000.0,109000000.0,Not reported,1400000000.0,,Mining and quarrying
2018,EXXON MOBIL CORP,United States,71000,101000000.0,9000000.0,110000000.0,Not reported,1500000000.0,,Mining and quarrying
2019,EXXON MOBIL CORP,United States,75000,97000000.0,9000000.0,106000000.0,Not reported,4166666667.0,,Mining and quarrying
2020,EXXON MOBIL CORP,United States,72000,92000000.0,7000000.0,99000000.0,Not reported,1500000000.0,,Mining and quarrying
2021,EXXON MOBIL CORP,United States,63000,92000000.0,7000000.0,99000000.0,Not reported,,,Mining and quarrying
2016,FACEBOOK INC-A,United States,17048,9000.0,545000.0,554000.0,Reported,,,Information and communication
2017,FACEBOOK INC-A,United States,25105,25000.0,591000.0,616000.0,Reported,,,Information and communication
2018,FACEBOOK INC-A,United States,33587,42000.0,314000.0,356000.0,Reported,,,Information and communication
2019,FACEBOOK INC-A,United States,44942,44000.0,208000.0,252000.0,Reported,,,Information and communication
2020,FACEBOOK INC-A,United States,58604,29000.0,9000.0,38000.0,Reported,,,Information and communication
2021,FACEBOOK INC-A,United States,71970,55000.0,2000.0,57000.0,Reported,,,Information and communication
2021,FORD MOTOR CO,United States,182789,1080000.0,2070000.0,3150000.0,Not reported,9840000.0,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2016,FORD MOTOR CO,United States,201000,1300000.0,3310000.0,4610000.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2017,FORD MOTOR CO,United States,202275,1320000.0,3120000.0,4440000.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2018,FORD MOTOR CO,United States,198964,1270000.0,3110000.0,4380000.0,Not reported,13800000.0,1360000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2019,FORD MOTOR CO,United States,190433,1140000.0,2600000.0,3740000.0,Not reported,12970000.0,1216000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2020,FORD MOTOR CO,United States,186401,940000.0,2020000.0,2960000.0,Not reported,10440000.0,986000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2021,HSBC HOLDINGS (GB),UK,172400,22000.0,307000.0,329000.0,Not reported,27080563.0,,Financial and insurance activities
2016,HSBC HOLDINGS (GB),UK,235175,25719.0,444110.0,529000.0,Not reported,1250000.0,26000.0,Financial and insurance activities
2017,HSBC HOLDINGS (GB),UK,228687,27648.0,445352.0,473000.0,Not reported,1134000.0,25000.0,Financial and insurance activities
2018,HSBC HOLDINGS (GB),UK,240578,26403.0,410597.0,437000.0,Not reported,1092000.0,23000.0,Financial and insurance activities
2019,HSBC HOLDINGS (GB),UK,240946,28025.0,385975.0,414000.0,Not reported,1049000.0,21000.0,Financial and insurance activities
2020,HSBC HOLDINGS (GB),UK,231040,25228.0,337772.0,363000.0,Not reported,928000.0,17000.0,Financial and insurance activities
2016,INTEL CORP,United States,106000,976000.0,644000.0,1620000.0,Not reported,6500000.0,177000.0,Information and communication
2017,INTEL CORP,United States,102700,1490000.0,970000.0,2460000.0,Not reported,7330000.0,183000.0,Information and communication
2018,INTEL CORP,United States,107400,1458000.0,1122000.0,2580000.0,Not reported,8340000.0,205000.0,Information and communication
2019,INTEL CORP,United States,110800,1489000.0,1301000.0,2790000.0,Not reported,9570000.0,387000.0,Information and communication
2020,INTEL CORP,United States,110600,1973000.0,909000.0,2882000.0,Not reported,10650000.0,414000.0,Information and communication
2021,INTEL CORP,United States,121100,2181000.0,1093000.0,3274000.0,Not reported,,344000.0,Information and communication
2016,JOHNSON&JOHNSON,United States,126400,463622.0,416612.0,880234.0,Not reported,3558610.0,125526.0,Human health and social work activities
2017,JOHNSON&JOHNSON,United States,134000,474497.0,396612.0,871109.0,Reported,3523610.0,137732.0,Human health and social work activities
2018,JOHNSON&JOHNSON,United States,135100,452407.0,305578.0,757985.0,Reported,3668890.0,141770.0,Human health and social work activities
2019,JOHNSON&JOHNSON,United States,132200,415094.0,264108.0,679202.0,Reported,3528330.0,141848.0,Human health and social work activities
2020,JOHNSON&JOHNSON,United States,136400,363924.0,229809.0,593733.0,Reported,3320556.0,129090.0,Human health and social work activities
2016,JPMORGAN CHASE & CO,United States,243355,79556.0,780710.0,860266.0,Not reported,2240399.0,,Financial and insurance activities
2017,JPMORGAN CHASE & CO,United States,252539,78229.0,596843.0,675072.0,Not reported,2124700.0,,Financial and insurance activities
2018,JPMORGAN CHASE & CO,United States,256105,83101.0,572067.0,655168.0,Not reported,2127810.0,,Financial and insurance activities
2019,JPMORGAN CHASE & CO,United States,256981,81655.0,556142.0,637797.0,Not reported,2082280.0,,Financial and insurance activities
2020,JPMORGAN CHASE & CO,United States,255351,69570.0,4187.0,73757.0,Not reported,1942728.0,,Financial and insurance activities
2021,JPMORGAN CHASE & CO,United States,271025,84911.0,785272.0,870183.0,Not reported,2437515.0,,Financial and insurance activities
2016,LVMH MOET HENNE,France,134476,62657.0,322972.0,385629.0,Not reported,1148570.0,80787.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2017,LVMH MOET HENNE,France,145247,87241.0,292070.0,379312.0,Not reported,1189280.0,78550.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
