Year,COMPANY_NAME,Country,NUMBER_OF_EMPLOYEES,SCOPE_1,SCOPE_2,SCOPE 1+2,SCOPE 3,ENERGY_CONSUMPTION_TOTAL,TOTAL_WASTE_GENERATED,ISIC Division
2018,LVMH MOET HENNE,France,156088,96030.0,288092.0,384123.0,Not reported,1277080.0,99495.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2019,LVMH MOET HENNE,France,163309,69152.0,294810.03,363963.0,Not reported,1278600.0,95620.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2020,LVMH MOET HENNE,France,150479,63909.0,240421.0,304330.0,Not reported,1149660.0,80690.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2021,LVMH MOET HENNE,France,175647,71390.0,304349.4,375740.0,Not reported,1367340.0,113580.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2016,MICROSOFT CORP,United States,114000,94651.0,2139402.0,2234053.0,Not reported,,,Information and communication
2017,MICROSOFT CORP,United States,124000,107452.0,2697554.0,2805006.0,Not reported,6756779.0,23870.0,Information and communication
2018,MICROSOFT CORP,United States,131000,99008.0,2946043.0,3045051.0,Not reported,7781383.0,17661.0,Information and communication
2019,MICROSOFT CORP,United States,144000,117956.0,3557518.0,3675474.0,Not reported,9249361.0,31644.0,Information and communication
2020,MICROSOFT CORP,United States,163000,118100.0,4102445.0,4220545.0,Not reported,10757166.0,31101.0,Information and communication
2021,MICROSOFT CORP,United States,181000,123704.0,4745197.0,4868901.0,Not reported,13481863.0,20768.0,Information and communication
2016,NESTLE SA-REG,Switzerland,328221,3600000.0,3000000.0,6600000.0,Not reported,39472300.0,,Accommodation and food service activities
2017,NESTLE SA-REG,Switzerland,322887,3500000.0,3000000.0,6500000.0,Not reported,37750000.0,,Accommodation and food service activities
2018,NESTLE SA-REG,Switzerland,308301,3300000.0,2500000.0,5800000.0,Not reported,35472300.0,,Accommodation and food service activities
2019,NESTLE SA-REG,Switzerland,275628,3300000.0,2300000.0,5600000.0,Not reported,35361100.0,,Accommodation and food service activities
2020,NESTLE SA-REG,Switzerland,268350,3300000.0,1900000.0,5200000.0,Not reported,,,Accommodation and food service activities
2021,NESTLE SA-REG,Switzerland,257031,3370000.0,2640193.0,6010193.0,Not reported,,1568228.0,Accommodation and food service activities
2019,Petrochina,China,460700,132170000.0,41910000.0,174080000.0,Not reported,708511230.0,,Mining and quarrying
2020,Petrochina,China,432003,127570000.0,39870000.0,167440000.0,Not reported,720478500.0,,Mining and quarrying
2021,Petrochina,China,417200,121390000.0,38150000.0,159540000.0,Not reported,,2603000.0,Mining and quarrying
2016,PFIZER,United States,96500,940953.0,1106920.0,2047873.0,Not reported,,,Human health and social work activities
2017,PFIZER,United States,90200,788838.0,859691.0,1648529.0,Not reported,,164000.0,Human health and social work activities
2018,PFIZER,United States,92400,756964.0,919786.0,1676750.0,Not reported,5658241.0,161400.0,Human health and social work activities
2019,PFIZER,United States,88300,697313.0,605271.0,1302584.0,Not reported,,41200.0,Human health and social work activities
2020,PFIZER,United States,78500,654460.0,551577.0,1206037.0,Not reported,4499278.0,168100.0,Human health and social work activities
2021,PFIZER,United States,79000,662438.0,1339701.0,1172000.0,Not reported,,40100.0,Human health and social work activities
2021,PING AN INS A (HK-C),China,355982,6121.76,376336.09,382457.85,Not reported,,210773.0,Financial and insurance activities
2017,PING AN INS A (HK-C),China,342600,3774.0,123860.0,127634.0,Not reported,,9186.0,Financial and insurance activities
2018,PING AN INS A (HK-C),China,376900,3774.0,123860.0,127634.0,Not reported,,8957.0,Financial and insurance activities
2019,PING AN INS A (HK-C),China,376900,7156.0,720605.0,727761.0,Not reported,,309631.0,Financial and insurance activities
2020,PING AN INS A (HK-C),China,361600,2114.51,478287.47,480401.98,Not reported,,331125.0,Financial and insurance activities
2021,PJSC Gazprom,Russia,479200,119870000.0,4700000.0,124570000.0,Not reported,,290760.0,Mining and quarrying
2016,PJSC Gazprom,Russia,467400,101240000.0,4508363.0,105748363.0,Not reported,,273650.0,Mining and quarrying
2017,PJSC Gazprom,Russia,469600,113170000.0,5540559.0,118710559.0,Not reported,,260700.0,Mining and quarrying
2018,PJSC Gazprom,Russia,466100,120090000.0,8210000.0,128300000.0,Not reported,,285900.0,Mining and quarrying
2019,PJSC Gazprom,Russia,473800,117090000.0,6080000.0,123170000.0,Not reported,,264240.0,Mining and quarrying
2020,PJSC Gazprom,Russia,477600,100970000.0,4770000.0,105740000.0,Not reported,,272240.0,Mining and quarrying
2016,PROCTER & GAMBLE,United States,105000,2133000.0,2770000.0,4903000.0,Not reported,16389020.0,640000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2017,PROCTER & GAMBLE,United States,95000,2122000.0,2437000.0,4559000.0,Not reported,16666800.0,632000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2018,PROCTER & GAMBLE,United States,92000,2143000.0,1910000.0,4053000.0,Not reported,16944580.0,624000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2019,PROCTER & GAMBLE,United States,97000,2210000.0,1840000.0,4050000.0,Not reported,16944580.0,655000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2021,PROCTER & GAMBLE,United States,101000,2242000.0,156000.0,2398000.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2015,Puma,Germany,11351,7296000.0,35591000.0,42887000.0,Reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2016,Puma,Germany,11495,6854000.0,37300000.0,44154000.0,Reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2017,Puma,Germany,11787,7678000.0,40029000.0,47707000.0,Reported,235140995.0,5293.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2018,Puma,Germany,12894,6918000.0,43366000.0,50284000.0,Reported,,4877.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2019,Puma,Germany,14332,6326000.0,40986000.0,47312000.0,Reported,256254687.0,3644.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2020,Puma,Germany,13016,4176000.0,29839000.0,34015000.0,Reported,339404126.0,3949.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2021,Puma,Germany,14846,4046000.0,32545000.0,36591000.0,Reported,,5215.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2016,Reliance Industries,India,24121,22446185.0,673289.0,23119474.0,Not reported,,,Mining and quarrying
2017,Reliance Industries,India,24167,24437399.0,733017.0,25170416.0,Not reported,,,Mining and quarrying
2018,Reliance Industries,India,29533,31500000.0,820000.0,32320000.0,Not reported,,909990.0,Mining and quarrying
2019,Reliance Industries,India,28967,29360000.0,1140000.0,30500000.0,Not reported,,798600.0,Mining and quarrying
2020,Reliance Industries,India,26488,47500000.0,1450000.0,48950000.0,Not reported,,606600.0,Mining and quarrying
2022,Reliance Industries,India,342982,43960000.0,1190000.0,45150000.0,Not reported,,,Mining and quarrying
2021,Reliance Industries,India,236334,44670000.0,1250000.0,45920000.0,Not reported,,,Mining and quarrying
2016,Samsung Electronics Co,South Korea,277000,2554000.0,9556000.0,12110000.0,Not reported,21073000.0,1078310.0,Manufacturing
2017,Samsung Electronics Co,South Korea,282000,3704500.0,9405500.0,13110000.0,Not reported,23419000.0,1146810.0,Manufacturing
2018,Samsung Electronics Co,South Korea,287000,4855000.0,11125000.0,15980000.0,Not reported,26028000.0,1210520.0,Manufacturing
2019,Samsung Electronics Co,South Korea,292000,5067000.0,10933000.0,16000000.0,Not reported,26899000.0,1099197.0,Manufacturing
2020,Samsung Electronics Co,South Korea,297000,5726000.0,11504000.0,17230000.0,Not reported,29024000.0,1181741.0,Manufacturing
2021,Samsung Electronics Co,South Korea,302000,7604000.0,12566000.0,19200000.0,Not reported,32322000.0,1324972.0,Manufacturing
2019,SAUDI ARAMCO,Saudi Arabia,82000,52000000.0,19000000.0,71000000.0,Not reported,,232000.0,Mining and quarrying
2020,SAUDI ARAMCO,Saudi Arabia,83900,50200000.0,18100000.0,68300000.0,Not reported,,231000.0,Mining and quarrying
2021,SAUDI ARAMCO,Saudi Arabia,85800,55300000.0,15500000.0,70800000.0,Not reported,,158000.0,Mining and quarrying
2016,Shell Plc,United Kingdom,91000,72000000.0,11500000.0,72000000.0,Not reported,266000000.0,2148000.0,Mining and quarrying
2017,Shell Plc,United Kingdom,86000,73000000.0,11000000.0,73000000.0,Reported,269000000.0,2020000.0,Mining and quarrying
2018,Shell Plc,United Kingdom,82000,71000000.0,10000000.0,71000000.0,Reported,268000000.0,1999000.0,Mining and quarrying
2019,Shell Plc,United Kingdom,87000,70000000.0,9000000.0,79000000.0,Reported,264000000.0,2113000.0,Mining and quarrying
2020,Shell Plc,United Kingdom,87000,63000000.0,8500000.0,63000000.0,Not reported,241000000.0,2049000.0,Mining and quarrying
2021,Shell Plc,United Kingdom,82000,91000000.0,10937254.0,101937254.0,Reported,223000000.0,1993000.0,Mining and quarrying
2016,SOFTBANK GROUP CORP,Japan,63591,11456.0,785893.0,797349.0,Not reported,,,Information and communication
2017,SOFTBANK GROUP CORP,Japan,19408,11386.0,711128.0,722514.0,Not reported,1418791.0,,Information and communication
2018,SOFTBANK GROUP CORP,Japan,19993,11456.0,682497.0,693953.0,Not reported,1355703.0,,Information and communication
2019,SOFTBANK GROUP CORP,Japan,27568,14454.0,760305.0,774759.0,Not reported,1644234.0,,Information and communication
2020,SOFTBANK GROUP CORP,Japan,29212,15803.0,760301.0,776104.0,Not reported,1680530.0,,Information and communication
2021,SOFTBANK GROUP CORP,Japan,54778,15416.0,605513.0,620929.0,Not reported,2263151.0,,Information and communication
2022,SOFTBANK GROUP CORP,Japan,59721,12052.0,708450.0,720502.0,Not reported,2262843.0,,Information and communication
2016,SONY CORP,Japan,125300,299974.0,1263190.0,1563164.0,Not reported,,60117.0,Manufacturing
2017,SONY CORP,Japan,128400,269279.0,1084907.0,1354186.0,Not reported,,50007.0,Manufacturing
2018,SONY CORP,Japan,117300,234291.0,1156316.0,1390607.0,Not reported,23000000.0,54544.0,Manufacturing
2019,SONY CORP,Japan,114400,187123.0,1151882.0,1339006.0,Not reported,24000000.0,48799.0,Manufacturing
2020,SONY CORP,Japan,111700,187829.0,1188286.0,1376115.0,Not reported,24000000.0,48186.0,Manufacturing
2021,SONY CORP,Japan,109700,189000.0,1204000.0,1393000.0,Not reported,,51362.0,Manufacturing
2016,TAIWAN SEMICONDUCTOR,Taiwan,46968,2035510.0,5378443.0,7413953.0,Not reported,9848000.0,298761.0,Information and communication
2017,TAIWAN SEMICONDUCTOR,Taiwan,48602,2075928.0,6080212.0,8156140.0,Not reported,12016000.0,369745.0,Information and communication
2018,TAIWAN SEMICONDUCTOR,Taiwan,48752,2125725.0,6349642.0,8475367.0,Not reported,13167000.0,393784.0,Information and communication
2019,TAIWAN SEMICONDUCTOR,Taiwan,51297,2071743.0,6697872.0,8769614.0,Not reported,14323000.0,416715.0,Information and communication
2020,TAIWAN SEMICONDUCTOR,Taiwan,56831,2450350.0,7459856.0,9910210.0,Not reported,16919000.0,575740.0,Information and communication
2021,TAIWAN SEMICONDUCTOR,Taiwan,65152,2151937.0,8152497.0,10304434.0,Not reported,19192000.0,674703.0,Information and communication
2016,TENCENT,China,38775,1530.0,344650.0,346180.0,Not reported,,,Information and communication
2017,TENCENT,China,44796,2783.79,573876.0,576659.79,Not reported,866714.0,,Information and communication
2018,TENCENT,China,54309,2590.31,712762.0,715352.31,Not reported,,,Information and communication
2019,TENCENT,China,62885,4101.08,852686.0,856787.08,Not reported,,,Information and communication
2020,TENCENT,China,51350,4089.79,926675.8,930765.59,Not reported,,,Information and communication
2021,TENCENT,China,68226,19000.0,2349000.0,2368000.0,Not reported,4375253.0,29850.0,Information and communication
2016,TOTAL,France,102168,41000000.0,4000000.0,45000000.0,Not reported,150000000.0,363000.0,Mining and quarrying
2017,TOTAL,France,98277,38000000.0,4000000.0,42000000.0,Not reported,142000000.0,427000.0,Mining and quarrying
2018,TOTAL,France,104460,40000000.0,4000000.0,44000000.0,Not reported,143000000.0,379000.0,Mining and quarrying
2019,TOTAL,France,107776,41000000.0,4000000.0,45000000.0,Not reported,160000000.0,375000.0,Mining and quarrying
2020,TOTAL,France,105476,38000000.0,3000000.0,41000000.0,Not reported,147000000.0,303000.0,Mining and quarrying
2021,TOTAL,France,101309,34000000.0,2000000.0,36000000.0,Not reported,148000000.0,335000.0,Mining and quarrying
2016,TOYOTA MOTOR CORP,Japan,348877,2490000.0,5080000.0,7570000.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2017,TOYOTA MOTOR CORP,Japan,364445,1750000.0,4190000.0,7810000.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2018,TOYOTA MOTOR CORP,Japan,369124,1920000.0,4080000.0,7790000.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2019,TOYOTA MOTOR CORP,Japan,370870,1900000.0,3780000.0,7650000.0,Not reported,19444446.0,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2020,TOYOTA MOTOR CORP,Japan,359542,1640000.0,3260000.0,5680000.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2021,TOYOTA MOTOR CORP,Japan,366283,1928167.0,4496359.0,6424526.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2019,UNITEDHEALTH GRP,United States,325000,17709.0,149418.0,167127.0,Not reported,,7964.0,Human health and social work activities
2020,UNITEDHEALTH GRP,United States,330000,24487.0,148741.0,173228.0,Not reported,381692.0,6709.0,Human health and social work activities
2021,UNITEDHEALTH GRP,United States,350000,97537.0,290463.0,388000.0,Not reported,1151438.0,7099.0,Human health and social work activities
2018,UNITEDHEALTH GRP,United States,300000,13933.0,155700.0,169633.0,Not reported,365005.0,15521.0,Human health and social work activities
2016,VERIZON COMMUNICATIONS,United States,160900,372496.0,5259727.0,5632223.0,Not reported,,,Information and communication
2017,VERIZON COMMUNICATIONS,United States,155400,376735.0,4522261.0,4898996.0,Not reported,,,Information and communication
2018,VERIZON COMMUNICATIONS,United States,144953,385241.0,4033579.0,4418820.0,Not reported,,,Information and communication
2019,VERIZON COMMUNICATIONS,United States,135670,358753.0,4006874.0,4365627.0,Not reported,,,Information and communication
2020,VERIZON COMMUNICATIONS,United States,132200,336831.0,3753660.0,4090491.0,Not reported,,,Information and communication
2021,VERIZON COMMUNICATIONS,United States,118400,380419.0,4492040.0,4872459.0,Not reported,,,Information and communication
2016,VOLKSWAGEN VORZUG,Germany,626715,4230000.0,5280000.0,9510000.0,Not reported,23500000.0,3112108.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2017,VOLKSWAGEN VORZUG,Germany,642292,4040000.0,4910000.0,9090000.0,Not reported,24200000.0,3220574.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2018,VOLKSWAGEN VORZUG,Germany,655722,3910000.0,4290000.0,8210000.0,Not reported,24120000.0,3302955.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2019,VOLKSWAGEN VORZUG,Germany,671205,4400000.0,3800000.0,7570000.0,Not reported,23420000.0,3135573.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2020,VOLKSWAGEN VORZUG,Germany,662575,4340000.0,2800000.0,7140000.0,Not reported,21590000.0,2489035.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2021,VOLKSWAGEN VORZUG,Germany,672789,4740000.0,2420000.0,7160000.0,Not reported,21980000.0,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2016,WALMART,United States,2300000,14080000.0,6650000.0,20730000.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2017,WALMART,United States,2300000,6523390.0,6520000.0,13043390.0,Not reported,44291504.0,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2018,WALMART,United States,2300000,6101641.0,6100000.0,12201641.0,Not reported,43150528.0,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2019,WALMART,United States,2200000,6484616.0,12160000.0,18644616.0,Not reported,42589868.0,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2020,WALMART,United States,2200000,7236499.0,12020000.0,19256499.0,Not reported,41676262.0,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2021,WALMART,United States,2300000,7370161.0,9618958.0,16989119.0,Not reported,38333336.0,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2016,Zalando SE,Germany,11998,3868000.0,26048000.0,29916000.0,Reported,57342.0,16505.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2017,Zalando SE,Germany,15091,4935000.0,21290000.0,26225000.0,Reported,84402.0,17694.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2018,Zalando SE,Germany,15619,5701000.0,1678000.0,7379000.0,Reported,104011.0,18914.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2019,Zalando SE,Germany,13763,5904000.0,2271000.0,8175000.0,Reported,131758.0,22114.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2020,Zalando SE,Germany,14194,8191000.0,1125000.0,9316000.0,Reported,,25170.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2021,Zalando SE,Germany,17043,769000.0,2414000.0,3183000.0,Reported,183057.0,31058.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2015,Unilever,United Kingdom,219697,890801.0,1071076.0,1961877.0,Not reported,833.0,13000.0,Wholesale and retail trade; repair of motor vehicles and motorcycles
2016,Unilever,United Kingdom,169000,882973.0,1007953.0,1890926.0,Not reported,27267621.0,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2017,Unilever,United Kingdom,161000,820355.0,938944.0,1759299.0,Not reported,26507528.0,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2018,Unilever,United Kingdom,155000,758232.0,893825.0,1652057.0,Not reported,25907758.0,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2019,Unilever,United Kingdom,150000,659028.0,469063.0,1128091.0,Not reported,23932970.0,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2020,Unilever,United Kingdom,149000,606771.0,216740.0,823511.0,Not reported,23547483.0,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2021,Unilever,United Kingdom,148044,565988.0,144752.0,710740.0,Not reported,23566289.0,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2016,Adobe,United States,15706,11082.0,86288.0,97370.0,Reported,212931.0,1111.0,Information and communication
2017,Adobe,United States,17973,11361.0,84697.0,96058.0,Reported,237959.0,1669.0,Information and communication
2018,Adobe,United States,21357,12119.0,106745.0,118864.0,Reported,233248.0,1493.0,Information and communication
2019,Adobe,United States,22634,11817.0,100021.0,111838.0,Reported,221486.0,1850.0,Information and communication
2020,Adobe,United States,22616,9598.0,46700.0,56298.0,Reported,208187.0,803.0,Information and communication
2021,Adobe,United States,26000,4923.0,89367.0,94290.0,Reported,237468.0,1189.0,Information and communication
2015,HP,United States,302000,162620.0,697000.0,859620.0,Reported,859620.0,28100.0,Information and communication
2016,HP,United States,49000,155682.0,584000.0,739682.0,Reported,739682.0,33360.0,Information and communication
2017,HP,United States,49000,165138.0,641983.0,807121.0,Reported,807122.0,34910.0,Information and communication
2018,HP,United States,55000,164075.0,594823.0,758898.0,Not reported,758898.0,38900.0,Information and communication
2019,HP,United States,56000,61900.0,153900.0,215800.0,Reported,663374.0,17466.0,Information and communication
2020,HP,United States,53000,50600.0,120400.0,171000.0,Reported,604901.0,20260.0,Information and communication
2021,HP,United States,51000,48700.0,110800.0,159500.0,Reported,697058.0,20760.0,Information and communication
